department;groupid;journeyid;levelno;orderno;drilldown;icon
6;109;E027;2;1;N;
6;R099;E014;2;1;N;
6;R099;E015;2;2;N;
6;R099;E142;2;3;N;
6;R099;E146;2;4;N;
6;R101;E016;2;1;N;
6;R101;E017;2;2;N;
6;R101;E018;2;3;N;
6;R101;E019;2;4;N;
6;R101;E020;2;5;N;
6;R102;E021;2;2;N;
6;R102;E022;2;3;N;
6;R103;E026;2;2;N;
23;280;D004;1;2;N;
23;281;D010;1;4;N;
23;281;D012;1;2;N;
23;281;D021;1;7;N;
23;283;D007;2;1;N;
23;283;D008;2;2;N;
23;284;D027;1;2;N;
23;R097;D013;2;1;N;
23;R098;D014;2;2;N;
23;R160;D001;2;3;N;
23;R160;D002;2;4;N;
23;R160;D003;2;1;N;
23;R160;D016;2;2;N;
23;R161;D005;2;1;N;
23;R161;D006;2;2;N;
23;R161;D009;2;3;N;
23;R170;D020;2;1;N;
23;R801;D022;2;4;N;
23;R801;D024;2;1;N;
23;R801;D025;2;2;N;
23;R801;D026;2;3;N;
23;RD01;D028;1;3;N;
29;280;D004;1;2;N;
29;281;D010;1;4;N;
29;281;D012;1;2;N;
29;281;D021;1;7;N;
29;283;D007;2;1;N;
29;283;D008;2;2;N;
29;284;D027;1;2;N;
29;R097;D013;2;1;N;
29;R160;D003;2;1;N;
29;R160;D016;2;2;N;
29;R161;D005;2;1;N;
29;R161;D006;2;2;N;
29;R161;D009;2;3;N;
29;R170;D020;2;1;N;
29;R801;D022;2;4;N;
29;R801;D024;2;1;N;
29;R801;D025;2;2;N;
29;R801;D026;2;3;N;
30;284;D027;1;2;N;
30;R801;D022;2;4;N;
30;R801;D024;2;1;N;
30;R801;D025;2;2;N;
30;R801;D026;2;3;N;
31;R099;E014;2;1;N;
31;R099;E015;2;2;N;
31;R099;E142;2;3;N;
31;R099;E146;2;4;N;
31;R101;E016;2;1;N;
31;R101;E017;2;2;N;
31;R101;E018;2;3;N;
31;R101;E019;2;4;N;
31;R101;E020;2;5;N;
31;R102;E021;2;2;N;
31;R102;E022;2;3;N;
31;R103;E026;2;2;N;
32;R099;E014;2;1;N;
32;R099;E015;2;2;N;
32;R099;E142;2;3;N;
32;R099;E146;2;4;N;
32;R101;E016;2;1;N;
32;R101;E017;2;2;N;
32;R101;E018;2;3;N;
32;R101;E019;2;4;N;
32;R101;E020;2;5;N;
32;R102;E021;2;2;N;
32;R102;E022;2;3;N;
32;R103;E026;2;2;N;
33;R099;E014;2;1;N;
33;R099;E015;2;2;N;
33;R099;E142;2;3;N;
33;R099;E146;2;4;N;
33;R101;E016;2;1;N;
33;R101;E017;2;2;N;
33;R101;E018;2;3;N;
33;R101;E019;2;4;N;
33;R101;E020;2;5;N;
33;R102;E021;2;2;N;
33;R102;E022;2;3;N;
33;R103;E026;2;2;N;
34;109;E027;2;1;N;
34;R103;E026;2;2;N;
35;280;D004;1;2;N;
35;281;D010;1;4;N;
35;281;D012;1;2;N;
35;281;D021;1;7;N;
35;283;D007;2;1;N;
35;283;D008;2;2;N;
35;284;D027;1;2;N;
35;R097;D013;2;1;N;
35;R160;D003;2;1;N;
35;R161;D005;2;1;N;
35;R161;D006;2;2;N;
35;R161;D009;2;3;N;
35;R170;D020;2;1;N;
35;R801;D022;2;4;N;
35;R801;D024;2;1;N;
35;R801;D025;2;2;N;
35;R801;D026;2;3;N;
36;280;D004;1;2;N;
36;281;D010;1;4;N;
36;281;D012;1;2;N;
36;283;D007;2;1;N;
36;283;D008;2;2;N;
36;284;D027;1;2;N;
36;R097;D013;2;1;N;
36;R160;D003;2;1;N;
36;R161;D005;2;1;N;
36;R161;D006;2;2;N;
36;R161;D009;2;3;N;
36;R801;D022;2;4;N;
36;R801;D024;2;1;N;
36;R801;D025;2;2;N;
36;R801;D026;2;3;N;
